,Mauricio_Meneghini_Fauth  ,William_Desportes  ,Michal_Cihar  ,Madhura_Jayaratne  ,Marc_Delisle  ,Atul_Pratap_Singh  ,Viduranga_Wijesooriya  ,Rouslan_Placella  ,Tyron_Madlener  ,Deven_Bansod  ,Osaid_Rehman_Nasir  ,Spun_Nakandala  ,Shamim_Rezaie  ,Bas_Brands  ,Andrew_Nicols  ,Amaia_Anabitarte  ,Tim_Hunt  ,Damyon_Wiese  ,Matt_Porritt  ,Tom_Dickman  ,David_Monllao  ,Ryan_Wyllie  ,Marina_Glancy  ,Brendan_Heywood  ,Mark_Nelson  ,sam_marshall  ,Mihail_Geshoski  ,Frederic_Massart  ,Juan_Leyva  ,Simey_Lameze  ,Ankit_Agarwal  ,David_Mudrak  ,Cameron_Ball  ,gthomas2  ,Ilya_Tregubov  ,Jun_Pataleta  ,John_Okely  ,Dan_Poltawski  ,Mark_Nielsen  ,Brendan_Anderson  ,Jean-Michel_Vedrine  ,Rossiani_Wijaya  ,Colin_Chambers  ,Petr_Skoda  ,nobelium  ,Andrew_Davis  ,Sam_Hemelryk  ,James_McQuillan  ,Yuliya_Bozhko  ,Sam_Chaffee  ,Mayank_Gupa  ,Eloy_Lafuente_(stronk7)  ,Andreas_Grabs  ,Dongsheng_Cai  ,Davo_Smith  ,Mikhail_Golenkov  ,Sara_Arjona  ,Helen_Foster  ,Rajesh_Taneja  ,skodak  ,Eric_Merrill  ,Inaki  ,Tony_Levi  ,Eloy_Lafuente_(stronk7),moodler  ,donal72  ,fiedorow  ,catch  ,effulgentsia  ,webchick  ,Lee_Rowlands  ,Alex_Pott  ,Nathaniel_Catchpole  ,xjm  ,Gabor_Hojtsy  ,Lauri_Eskola  ,Chris_McCafferty  ,Jennifer_Hodgdon  ,tim.plunkett  ,Daniel_Wehner  ,Dries_Buytaert  ,Angie_Byron  
javascript-S2583,0,0,0,0,14.25023659,0,4.750078863,0,2.375039431,0,0,0,2.375039431,0,28.50047318,0,0,26.12543374,0,0,0,7.125118294,0,0,0,0,0,0,0,2.375039431,0,0,0,0,0,0,0,2.375039431,0,0,0,2.375039431,0,21.37535488,0,2.375039431,2.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375039431,0,0,0,0,0,2.375039431,0,0,0,0,0,0
javascript-S3812,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.580153861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S905,0,0,0,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21244535,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S3001,0,0,0,0,10.75007886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S3403,0,0,0,0,5.831215625,0,0,0,0,0,0,0,0,0,2.915607813,0,0,8.746823438,0,5.831215625,0,2.915607813,0,0,0,0,2.915607813,0,0,2.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24047031,0,0,2.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915607813,0,0,0,0,0,0,0,0,0,0
php-S2964,0,0,0,0,0,0,0,0,0,3.580153861,0,0,0,0,3.580153861,0,0,7.160307723,0,0,19.69084624,0,0,0,0,1.790076931,14.32061545,0,3.580153861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.790076931,0,5.370230792,0,0,0,0,0,0,0,0,0,1.790076931,0,0,1.790076931,0,0,0,1.790076931,1.790076931,3.580153861,0,1.790076931,5.370230792,1.790076931,1.790076931,10.74046158,10.74046158,14.32061545,0,0,0,0,0,0,0,1.790076931,5.370230792
javascript-S2201,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16030772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62527602,0,0,0,0,2.375039431,0,0,11.87519716,0,0,30.87551261,0,0,0,0,0,0,0,0,0,0,2.375039431,0,0,0,0,0,0,0,2.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00031545,16.62527602,0,2.375039431,26.12543374,68.87614351,16.62527602,0,0,2.375039431,0,2.375039431,2.375039431,0,0
php-S1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.831215625,0,2.915607813,5.831215625,0,0,0,0,11.66243125,2.915607813,0,2.915607813,0,5.831215625,2.915607813,0,0,0,0,0,2.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790076931,0,3.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.580153861,3.790076931,0,0,7.580153861,0,0,0,0,0,0,0
Web-BoldAndItalicTagsCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5916155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.62527602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375039431,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.349199426,16.04759828,0,0,0,0,2.674599713,0,0,0,0,5.349199426,2.674599713,0,0,0,0,2.674599713,0,0,0,0,0,0,2.674599713,0,0,34.76979627,0,0,0,0,2.674599713,0,0,2.674599713,2.674599713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674599713,0,0,0,0,0,0,0,0
javascript-S2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37023079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.750078863,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-UnreachableCode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,0,4.053111336,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.84978138,0,0,12.15933401,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790076931,0,0,0,3.790076931,0,0,3.790076931,0,0,0,0,3.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-DoctypePresenceCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-FieldsetWithoutLegendCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-PageWithoutTitleCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,16.21244535,0,0,0,0,0,0,0,0,0,0
javascript-S1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375039431,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,13.12511829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375039431,0,0,0,0,0,6.750078863,0,0,0,0,0,0,0,3.375039431,0,0,0,0,0,0,0,6.750078863,0,0,0,0,0,0,0,0,3.375039431,3.375039431,0,0,0,6.750078863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-ImgWithoutAltCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-UnsupportedTagsInHtml5Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,9.580153861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web-FrameWithoutTitleCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S3699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0
php-S2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0
