Mikhail_Golenkov 	 /moodle/lib/cronlib.php 	 vuln 	 209 	 Remove this call to "sleep".
Juan_Leyva 	 /moodle/auth/tests/external_test.php 	 vuln 	 189 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/auth/tests/external_test.php 	 vuln 	 213 	 'password' detected in this variable name, review this potentially hardcoded credential.
David_Monllao 	 /moodle/search/engine/simpledb/tests/engine_test.php 	 vuln 	 116 	 Remove this call to "sleep".
David_Monllao 	 /moodle/search/engine/simpledb/tests/engine_test.php 	 vuln 	 157 	 Remove this call to "sleep".
David_Monllao 	 /moodle/search/engine/simpledb/tests/engine_test.php 	 vuln 	 159 	 Remove this call to "sleep".
David_Monllao 	 /moodle/lib/tests/indicators_test.php 	 vuln 	 264 	 Remove this call to "sleep".
David_Monllao 	 /moodle/lib/tests/indicators_test.php 	 vuln 	 209 	 Remove this call to "sleep".
Damyon_Wiese 	 /moodle/auth/oauth2/classes/api.php 	 vuln 	 265 	 'password' detected in this variable name, review this potentially hardcoded credential.
Damyon_Wiese 	 /moodle/auth/oauth2/classes/api.php 	 vuln 	 314 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/mod/lesson/tests/external_test.php 	 vuln 	 1348 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/mod/lesson/tests/external_test.php 	 vuln 	 1366 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/mod/lesson/tests/external_test.php 	 vuln 	 1217 	 Remove this call to "sleep".
Juan_Leyva 	 /moodle/mod/lesson/tests/external_test.php 	 vuln 	 1146 	 Remove this call to "sleep".
Andrew_Nicols 	 /moodle/files/converter/unoconv/classes/converter.php 	 vuln 	 250 	 Remove this call to "sleep".
Rajesh_Taneja 	 /moodle/lib/behat/lib.php 	 vuln 	 540 	 Remove this call to "sleep".
Juan_Leyva 	 /moodle/auth/tests/external_test.php 	 vuln 	 75 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/auth/email/tests/external_test.php 	 vuln 	 88 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/auth/email/tests/external_test.php 	 vuln 	 133 	 'password' detected in this variable name, review this potentially hardcoded credential.
skodak 	 /moodle/admin/cli/reset_password.php 	 vuln 	 57 	 'password' detected in this variable name, review this potentially hardcoded credential.
Damyon_Wiese 	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php 	 vuln 	 65 	 Remove this call to "sleep".
Damyon_Wiese 	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php 	 vuln 	 72 	 Remove this call to "sleep".
Damyon_Wiese 	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php 	 vuln 	 79 	 Remove this call to "sleep".
Juan_Leyva 	 /moodle/mod/quiz/tests/external_test.php 	 vuln 	 1605 	 'password' detected in this variable name, review this potentially hardcoded credential.
Simey_Lameze 	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php 	 vuln 	 132 	 Activate SSL/TLS certificates chain of trust verification.
Juan_Leyva 	 /moodle/mod/quiz/tests/external_test.php 	 vuln 	 771 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/mod/quiz/tests/external_test.php 	 vuln 	 677 	 'password' detected in this variable name, review this potentially hardcoded credential.
David_Monllao 	 /moodle/search/engine/solr/tests/engine_test.php 	 vuln 	 178 	 Remove this call to "sleep".
David_Monllao 	 /moodle/search/engine/solr/tests/engine_test.php 	 vuln 	 220 	 Remove this call to "sleep".
David_Monllao 	 /moodle/search/engine/solr/tests/engine_test.php 	 vuln 	 222 	 Remove this call to "sleep".
Marina_Glancy 	 /moodle/lib/adodb/adodb.inc.php 	 vuln 	 670 	 'password' detected in this variable name, review this potentially hardcoded credential.
Marina_Glancy 	 /moodle/lib/adodb/adodb.inc.php 	 vuln 	 753 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/enrol/self/tests/externallib_test.php 	 vuln 	 157 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/enrol/self/tests/externallib_test.php 	 vuln 	 202 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/enrol/self/tests/externallib_test.php 	 vuln 	 230 	 'password' detected in this variable name, review this potentially hardcoded credential.
Jun_Pataleta 	 /moodle/lib/tcpdf/include/tcpdf_static.php 	 vuln 	 1951 	 Activate SSL/TLS certificates chain of trust verification.
Jun_Pataleta 	 /moodle/lib/tcpdf/include/tcpdf_static.php 	 vuln 	 1952 	 Activate SSL/TLS certificates chain of trust verification.
Andrew_Nicols 	 /moodle/lib/tests/behat/behat_general.php 	 vuln 	 286 	 Remove this call to "sleep".
Eric_Merrill 	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php 	 vuln 	 125 	 Activate SSL/TLS certificates chain of trust verification.
Damyon_Wiese 	 /moodle/lib/tests/lock_test.php 	 vuln 	 118 	 Remove this call to "sleep".
Iñaki_Arenaza 	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php 	 vuln 	 131 	 Activate SSL/TLS certificates chain of trust verification.
Rajesh_Taneja 	 /moodle/user/tests/userlib_test.php 	 vuln 	 151 	 'password' detected in this variable name, review this potentially hardcoded credential.
Petr_Škoda 	 /moodle/user/editadvanced.php 	 vuln 	 195 	 'password' detected in this variable name, review this potentially hardcoded credential.
Frederic_Massart 	 /moodle/repository/tests/generator_test.php 	 vuln 	 160 	 'password' detected in this variable name, review this potentially hardcoded credential.
Tony_Levi 	 /moodle/lib/behat/behat_base.php 	 vuln 	 374 	 Remove this call to "sleep".
Mark_Nielsen 	 /moodle/mod/lti/tests/generator/lib.php 	 vuln 	 50 	 'password' detected in this variable name, review this potentially hardcoded credential.
Petr_Skoda 	 /moodle/mod/quiz/accessrule/password/tests/rule_test.php 	 vuln 	 43 	 'password' detected in this variable name, review this potentially hardcoded credential.
Petr_Skoda 	 /moodle/lib/editor/tinymce/plugins/spellchecker/classes/GoogleSpell.php 	 vuln 	 83 	 Activate SSL/TLS certificates chain of trust verification.
Petr_Skoda 	 /moodle/admin/tool/uploaduser/index.php 	 vuln 	 800 	 'password' detected in this variable name, review this potentially hardcoded credential.
Inaki 	 /moodle/auth/cas/auth.php 	 vuln 	 145 	 'password' detected in this variable name, review this potentially hardcoded credential.
Inaki 	 /moodle/auth/cas/auth.php 	 vuln 	 159 	 'password' detected in this variable name, review this potentially hardcoded credential.
Inaki 	 /moodle/lib/ldaplib.php 	 vuln 	 220 	 Provide username and password to authenticate the connection.
Eloy_Lafuente 	 /moodle/backup/util/dbops/restore_dbops.class.php 	 vuln 	 1232 	 'password' detected in this variable name, review this potentially hardcoded credential.
Petr_Skoda 	 /moodle/lib/jabber/XMPP/XMLStream.php 	 vuln 	 319 	 Remove this call to "sleep".
Petr_Škoda 	 /moodle/lib/phpmailer/src/PHPMailer.php 	 vuln 	 349 	 'password' detected in this variable name, review this potentially hardcoded credential.
skodak 	 /moodle/lib/db/install.php 	 vuln 	 230 	 'password' detected in this variable name, review this potentially hardcoded credential.
moodler 	 /moodle/lib/jabber/XMPP/XMPP.php 	 vuln 	 392 	 Change this code to use a stronger protocol.
Marina_Glancy 	 /moodle/lib/adodb/drivers/adodb-ldap.inc.php 	 vuln 	 85 	 Provide username and password to authenticate the connection.
donal72 	 /moodle/mnet/lib.php 	 vuln 	 71 	 Activate SSL/TLS certificates chain of trust verification.
donal72 	 /moodle/mnet/lib.php 	 vuln 	 72 	 Activate SSL/TLS certificates chain of trust verification.
Andrew_Davis 	 /moodle/mod/chat/gui_header_js/jsupdated.php 	 vuln 	 135 	 Remove this call to "sleep".
Andrew_Davis 	 /moodle/mod/chat/gui_header_js/jsupdated.php 	 vuln 	 166 	 Remove this call to "sleep".
Andrew_Davis 	 /moodle/mod/chat/gui_header_js/jsupdated.php 	 vuln 	 233 	 Remove this call to "sleep".
fiedorow 	 /moodle/lib/moodlelib.php 	 vuln 	 9109 	 Remove this call to "sleep".
stronk7 	 /moodle/lib/adodb/adodb-perf.inc.php 	 vuln 	 366 	 Remove this call to "sleep".
moodler 	 /moodle/lib/adodb/adodb-perf.inc.php 	 vuln 	 785 	 Remove this call to "sleep".
moodler 	 /moodle/lib/adodb/adodb-perf.inc.php 	 vuln 	 810 	 Remove this call to "sleep".
Marina_Glancy 	 /moodle/lib/adodb/adodb.inc.php 	 vuln 	 428 	 'password' detected in this variable name, review this potentially hardcoded credential.
samhemelryk 	 /moodle/login/index.php 	 vuln 	 343 	 'password' detected in this variable name, review this potentially hardcoded credential.
