File,Message,Line,Severity,Rule
moodle/user/tests/userlib_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",151,BLOCKER,php:S2068
moodle/user/editadvanced.php,"'password' detected in this variable name, review this potentially hardcoded credential.",195,BLOCKER,php:S2068
moodle/repository/tests/generator_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",160,BLOCKER,php:S2068
moodle/lib/behat/behat_base.php,"Remove this call to ""sleep"".",374,MINOR,php:S2964
moodle/mod/lti/tests/generator/lib.php,"'password' detected in this variable name, review this potentially hardcoded credential.",50,BLOCKER,php:S2068
moodle/mod/quiz/accessrule/password/tests/rule_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",43,BLOCKER,php:S2068
moodle/lib/editor/tinymce/plugins/spellchecker/classes/GoogleSpell.php,Activate SSL/TLS certificates chain of trust verification.,83,CRITICAL,php:S4830
moodle/admin/tool/uploaduser/index.php,"'password' detected in this variable name, review this potentially hardcoded credential.",800,BLOCKER,php:S2068
moodle/auth/cas/auth.php,"'password' detected in this variable name, review this potentially hardcoded credential.",145,BLOCKER,php:S2068
moodle/auth/cas/auth.php,"'password' detected in this variable name, review this potentially hardcoded credential.",159,BLOCKER,php:S2068
moodle/lib/ldaplib.php,Provide username and password to authenticate the connection.,220,CRITICAL,php:S4433
moodle/backup/util/dbops/restore_dbops.class.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1232,BLOCKER,php:S2068
moodle/lib/jabber/XMPP/XMLStream.php,"Remove this call to ""sleep"".",319,MINOR,php:S2964
moodle/lib/phpmailer/src/PHPMailer.php,"'password' detected in this variable name, review this potentially hardcoded credential.",349,BLOCKER,php:S2068
moodle/lib/db/install.php,"'password' detected in this variable name, review this potentially hardcoded credential.",230,BLOCKER,php:S2068
moodle/lib/jabber/XMPP/XMPP.php,Change this code to use a stronger protocol.,392,MAJOR,php:S4423
moodle/lib/adodb/drivers/adodb-ldap.inc.php,Provide username and password to authenticate the connection.,85,CRITICAL,php:S4433
moodle/mnet/lib.php,Activate SSL/TLS certificates chain of trust verification.,71,CRITICAL,php:S4830
moodle/mnet/lib.php,Activate SSL/TLS certificates chain of trust verification.,72,CRITICAL,php:S4830
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",135,MINOR,php:S2964
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",166,MINOR,php:S2964
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",233,MINOR,php:S2964
moodle/lib/moodlelib.php,"Remove this call to ""sleep"".",9109,MINOR,php:S2964
moodle/lib/adodb/adodb-perf.inc.php,"Remove this call to ""sleep"".",366,MINOR,php:S2964
moodle/lib/adodb/adodb-perf.inc.php,"Remove this call to ""sleep"".",785,MINOR,php:S2964
moodle/lib/adodb/adodb-perf.inc.php,"Remove this call to ""sleep"".",810,MINOR,php:S2964
moodle/lib/adodb/adodb.inc.php,"'password' detected in this variable name, review this potentially hardcoded credential.",428,BLOCKER,php:S2068
moodle/login/index.php,"'password' detected in this variable name, review this potentially hardcoded credential.",343,BLOCKER,php:S2068
